h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
   0  +2.23220333456993103e-01 -4.73848402500152588e-01 -4.63752690799649869e-01 -4.73848402500152588e-01
   1  +1.81958660483360291e-01 +8.74220579862594604e-02 +9.98071136152987176e-02 +8.74220579862594604e-02
   2  +1.53432458639144897e-01 +3.88936442323029041e-03 +1.85770527537159058e-02 +3.88936442323029041e-03
   3  +1.91682562232017517e-01 +2.21499606966972351e-01 +2.33256378715171908e-01 +2.21499606966972351e-01
   4  +2.03618451952934265e-01 -9.47024449706077576e-02 -8.36348422525948071e-02 -9.47024449706077576e-02
   5  +1.94811657071113586e-01 +3.29732932150363922e-02 +4.45412258847392509e-02 +3.29732932150363922e-02
